,a,alpha,mu,sigma,spread,t_c
227,-0.024985007943179555,0.012411734935261123,0.09559558317587363,0.009810497641861522,"('HO3', 'XB4')",0.002482
228,-0.024610482629615005,0.014114093647823268,0.09400215917785892,0.010221062684526314,"('HO3', 'XB5')",0.002482
229,-0.016897825271563263,0.6529865279878921,1.0985520397945348,0.0388080895239625,"('QS1', 'HO3')",0.002482
230,-0.016919730465609115,0.659879064831885,1.097004064591272,0.03909138594043635,"('QS2', 'HO3')",0.002482
231,-0.01697843522850167,0.6611667968147603,1.0946615738153542,0.0393417372958556,"('QS3', 'HO3')",0.002482
232,-0.01706202452039244,0.6617367953439321,1.0913334088054671,0.039661668346515314,"('QS4', 'HO3')",0.002482
233,-0.01711817113471832,0.6621539312469102,1.0882870889208787,0.039878169833733525,"('QS5', 'HO3')",0.002482
234,-0.024030787709538624,0.0168541135581909,0.001148962448782567,0.010766271404378766,"('HO4', 'HO5')",0.002482
235,-0.023691253115497916,0.06152998015806964,0.0425057353406283,0.0201244619320341,"('HO4', 'XB1')",0.002482
236,-0.024375874175247243,0.03108301919739676,0.058133558592690274,0.014945836562013499,"('HO4', 'XB2')",0.002482
237,-0.02472894820360297,0.018028954325830085,0.0769197669085123,0.011637729766756089,"('HO4', 'XB3')",0.002482
238,-0.02509786692028206,0.012187679437247086,0.09506449713268979,0.009789259136210529,"('HO4', 'XB4')",0.002482
239,-0.02473283990247959,0.013187406686374423,0.0950924442741109,0.00995561085629408,"('HO4', 'XB5')",0.002482
240,-0.016827438065361383,0.6484867607636484,1.099926720784296,0.03842279975774385,"('QS1', 'HO4')",0.002482
241,-0.016849173440402303,0.6553211064675949,1.098378498250994,0.03870269939263759,"('QS2', 'HO4')",0.002482
242,-0.016902028451888398,0.6582544906058818,1.0960221442878897,0.038979455803530974,"('QS3', 'HO4')",0.002482
243,-0.016978368693335986,0.6610824118338773,1.0926754665813867,0.0393389856129006,"('QS4', 'HO4')",0.002482
